Date,Filled,Emptied,Filled Value,Emptied Value
2021-06-01,68.07,14.42,1709.9184,362.2304
2021-06-02,0,16.01,0,402.17120000000006
2021-06-03,37.63,16.81,945.2656000000001,422.2672
2021-06-04,0,15.22,0,382.3264
2021-06-05,0,16.01,0,402.17120000000006
2021-06-06,46.44,14.41,1166.5728,361.9792
2021-06-07,0,15.22,0,382.3264
2021-06-08,0,14.41,0,361.9792
2021-06-09,0,15.22,0,382.3264
2021-06-10,58.46,16.02,1468.5152,402.42240000000004
2021-06-11,0,15.21,0,382.07520000000005
2021-06-12,0,15.22,0,382.3264
2021-06-13,0,15.21,0,382.07520000000005
2021-06-14,189.78,141.73,4767.2735999999995,3560.2576
2021-06-15,0,11.21,0,281.59520000000003
2021-06-16,0,11.21,0,281.59520000000003
2021-06-17,44.04,16.01,1106.2848000000001,402.17120000000006
2021-06-18,0,14.42,0,362.2304
2021-06-19,0,14.41,0,361.9792
2021-06-20,0,15.22,0,382.3264
2021-06-21,60.06,15.21,1508.7072,382.07520000000005
2021-06-22,0,15.22,0,382.3264
2021-06-23,0,15.21,0,382.07520000000005
2021-06-24,44.04,15.22,1106.2848000000001,382.3264
2021-06-25,0,15.21,0,382.07520000000005
2021-06-26,0,15.22,0,382.3264
2021-06-27,0,16.01,0,402.17120000000006
2021-06-28,66.46,15.21,1669.4751999999999,382.07520000000005
2021-06-29,0,16.02,0,402.42240000000004
2021-06-30,0,16.82,0,422.51840000000004
2021-07-01,0,2.4,0,60.288000000000004
